NUMBER,X_IMAGE,Y_IMAGE,X_WORLD,Y_WORLD,FLUX_APER,FLUXERR_APER,MAG_APER,MAGERR_APER,THRESHOLD,FLUX_RADIUS,FLAGS,NITER_MODEL
2562,1811.807,4567.8008,214.38316951,52.637387932,14.13686,0.2872057,-2.8759,0.0221,0.1480887,2.661,0,45
2563,1195.011,4621.4756,214.34172339,52.667221259,5.260978,0.2723188,-1.8027,0.0562,0.1480887,4.576,0,37
2564,1846.3264,4615.0811,214.38917434,52.637964412,11.17159,0.2819047,-2.6203,0.0274,0.1480887,2.223,0,17
2565,3771.5471,4494.2109,214.52158814,52.546826651,10.12829,0.2811042,-2.5138,0.0301,0.1480887,2.832,0,39
2566,4550.3726,4480.1187,214.57754952,52.51146708,3.065064,0.2681175,-1.2161,0.095,0.1480887,2.126,0,40
2567,4057.8274,4532.8442,214.54538084,52.535785469,7483.211,2.707119,-9.6852,0.0004,0.1480887,1.97,0,67
2568,2044.9929,4360.1763,214.3850922,52.617736466,2.329616,0.2670466,-0.9182,0.1245,0.1480887,1.535,0,23
2569,3219.6558,4611.541,214.48974829,52.576656519,3.236422,0.2689497,-1.2752,0.0902,0.1480887,2.496,0,87
2570,4628.7603,4751.7222,214.60319629,52.520069852,16.59531,0.291328,-3.05,0.0191,0.1480887,1.872,0,30
2571,619.1786,4815.6089,214.31354206,52.701501613,2.448633,0.2672627,-0.9723,0.1185,0.1480887,2.711,0,18
2572,3986.4844,4501.2075,214.53783919,52.537556234,3.71637,0.2695536,-1.4253,0.0788,0.1480887,3.689,0,48
2573,2014.1943,4612.4849,214.40132437,52.630378402,8.094529,0.2775728,-2.2705,0.0372,0.1480887,3.032,0,31
2574,2644.4165,4493.8745,214.43892005,52.597027456,9.021734,0.2789369,-2.3882,0.0336,0.1480887,3.078,0,43
2575,2305.7036,4589.9609,214.42109247,52.616397581,4.080107,0.2691665,-1.5267,0.0716,0.1480887,3.164,0,48
2576,3913.7048,4593.9097,214.5393074,52.544934315,3.370218,0.2678842,-1.3191,0.0863,0.1480887,2.755,0,82
