Tile_id,Name,FilterName,Alpha_J2000,Delta_J2000,FWHM,Depth2FWHM5s,Depth3arc5s,Deptharcsec2,Zero_Point,Zero_Point_Error,Zero_Point_Procedure,TExposed,Efectime,NCombined,Datasum,Observation_Dates,Flag,Flag_Date
31259,1000001-JPLUS-00421-v2_J0395_swp,J0395,256.5934,24.8733,1.29556,21.2024822,21.0433979,22.1050625,20.3317318,0.0372418016,5,294,293.559998,3,4235836058,2016-07-03 23:24:58 2016-07-03 23:27:04 2016-07-03 23:29:09,None,None
29166,1000001-JPLUS-00421-v2_J0410_swp,J0410,256.5934,24.8733,1.22033,21.1660347,20.9419994,22.0036659,21.2826748,0.0286065992,5,117,116.779999,3,2659792033,2016-07-03 22:48:34 2016-07-03 22:49:40 2016-07-03 22:50:47,None,None
27593,1000001-JPLUS-00421-v2_J0430_swp,J0430,256.5934,24.8733,1.12228,21.2791367,20.9641609,22.0258274,21.3799973,0.0279443003,5,111,110.790001,3,1827760188,2016-07-03 22:36:57 2016-07-03 22:38:03 2016-07-03 22:39:07,None,None
30731,1000001-JPLUS-00421-v2_gSDSS_swp,gSDSS,256.5934,24.8733,1.21017003,22.2494488,22.0163364,23.0780029,23.5529747,0.0353019983,5,114.059998,95.9499969,9,3262632875,2016-07-03 23:22:40 2016-07-03 23:23:24 2016-07-03 23:24:03 2017-02-01 04:22:49 2017-02-01 04:23:32 2017-02-01 04:24:13 2017-02-01 04:38:04 2017-02-01 04:38:47 2017-02-01 04:39:29,None,None
28641,1000001-JPLUS-00421-v2_J0515_swp,J0515,256.5934,24.8733,1.31101,21.2792549,21.1330414,22.1947079,21.4999695,0.0401264988,5,123,122.760002,3,1461662763,2016-07-03 22:45:02 2016-07-03 22:46:14 2016-07-03 22:47:21,None,None
26010,1000001-JPLUS-00421-v2_rSDSS_swp,rSDSS,256.5934,24.8733,1.14998996,22.0733662,21.784874,22.8465385,23.4943619,0.0228100996,5,135.179993,116.360001,9,674973798,2016-07-03 22:52:09 2016-07-03 22:52:58 2016-07-03 22:53:46 2017-02-01 04:24:58 2017-02-01 04:25:41 2017-02-01 04:26:23 2017-02-01 04:40:15 2017-02-01 04:40:57 2017-02-01 04:41:39,None,None
30214,1000001-JPLUS-00421-v2_J0660_swp,J0660,256.5934,24.8733,1.14221001,22.1883774,21.8925133,22.9541779,20.9534798,0.0232069995,5,810,808.849976,3,2720040927,2016-07-03 23:07:34 2016-07-03 23:12:32 2016-07-03 23:17:32,None,None
26551,1000001-JPLUS-00421-v2_iSDSS_swp,iSDSS,256.5934,24.8733,1.05876994,21.6486492,21.2704258,22.3320904,23.1359997,0.0229643993,5,109.019997,101.599998,9,3736671850,2016-07-03 22:22:07 2016-07-03 22:23:02 2016-07-03 22:23:56 2017-02-01 04:27:09 2017-02-01 04:27:43 2017-02-01 04:28:18 2017-02-01 04:42:26 2017-02-01 04:43:01 2017-02-01 04:43:35,None,None
28114,1000001-JPLUS-00421-v2_J0861_swp,J0861,256.5934,24.8733,1.06719995,20.6911831,20.3215694,21.383234,21.4392185,0.0069300402,5,180,179.979996,3,910005278,2016-07-03 22:40:27 2016-07-03 22:41:56 2016-07-03 22:43:24,None,None
31775,1000001-JPLUS-00421-v2_zSDSS_swp,zSDSS,256.5934,24.8733,1.10064995,20.5966301,20.2605247,21.3221912,22.4983864,0.00657173013,5,108,107.839996,3,3988773363,2016-07-03 23:31:28 2016-07-03 23:32:32 2016-07-03 23:33:40,None,None
27071,1000001-JPLUS-00525-v2_uJAVA_swp,uJAVA,256.7703,26.2657,1.12229002,22.4895496,22.1745853,23.2362499,21.0547352,0.0429593995,5,621,619.330017,3,897055953,2016-07-08 22:33:24 2016-07-08 22:37:23 2016-07-08 22:41:18,None,None
29692,1000001-JPLUS-00525-v2_J0378_swp,J0378,256.7703,26.2657,1.13931,22.1017246,21.8031006,22.8647652,20.3925476,0.0381453,5,660,659.570007,3,4144442425,2016-07-08 23:03:15 2016-07-08 23:07:22 2016-07-08 23:11:31,None,None
31258,1000001-JPLUS-00525-v2_J0395_swp,J0395,256.7703,26.2657,1.01920998,21.4567585,21.0371895,22.098856,20.3104095,0.038506601,5,294,293.880005,3,622209170,2016-07-08 23:33:22 2016-07-08 23:35:29 2016-07-08 23:37:34,None,None
29168,1000001-JPLUS-00525-v2_J0410_swp,J0410,256.7703,26.2657,1.05314004,21.3495159,20.9655037,22.0271683,21.2675362,0.0273263995,5,117,116.959999,3,2347843919,2016-07-08 22:56:58 2016-07-08 22:58:05 2016-07-08 22:59:12,None,None
27594,1000001-JPLUS-00525-v2_J0430_swp,J0430,256.7703,26.2657,1.04741001,21.3577461,20.9678097,22.0294743,21.3657875,0.0259997994,5,111,110.809998,3,4217682284,2016-07-08 22:45:17 2016-07-08 22:46:22 2016-07-08 22:47:26,None,None
30733,1000001-JPLUS-00525-v2_gSDSS_swp,gSDSS,256.7703,26.2657,1.02306998,22.1850262,21.7695618,22.8312263,23.5603943,0.0244497992,5,39,38.9900017,3,319410423,2016-07-08 23:31:04 2016-07-08 23:31:47 2016-07-08 23:32:27,None,None
28643,1000001-JPLUS-00525-v2_J0515_swp,J0515,256.7703,26.2657,1.02476001,21.5474911,21.1338177,22.1954823,21.5025978,0.0283356998,5,123,122.900002,3,1771745266,2016-07-08 22:53:27 2016-07-08 22:54:37 2016-07-08 22:55:45,None,None
26012,1000001-JPLUS-00525-v2_rSDSS_swp,rSDSS,256.7703,26.2657,0.986051023,22.1747494,21.7192707,22.7809353,23.5254688,0.0154213002,5,60,59.9700012,3,3495354622,2016-07-08 23:00:34 2016-07-08 23:01:24 2016-07-08 23:02:11,None,None
30212,1000001-JPLUS-00525-v2_J0660_swp,J0660,256.7703,26.2657,1.13979995,22.2839394,21.9857826,23.0474491,20.9897594,0.0143064996,5,810,809,3,122110496,2016-07-08 23:15:54 2016-07-08 23:20:56 2016-07-08 23:25:55,None,None
26549,1000001-JPLUS-00525-v2_iSDSS_swp,iSDSS,256.7703,26.2657,0.990962982,21.6609688,21.2108841,22.2725487,23.1620007,0.0186873991,5,78,77.9499969,3,1112962662,2016-07-08 22:30:24 2016-07-08 22:31:20 2016-07-08 22:32:14,None,None
28117,1000001-JPLUS-00525-v2_J0861_swp,J0861,256.7703,26.2657,0.942324996,20.9594765,20.4547501,21.5164165,21.4753952,0.00938765984,5,180,179.929993,3,1219324485,2016-07-08 22:48:47 2016-07-08 22:50:16 2016-07-08 22:51:48,None,None
31778,1000001-JPLUS-00525-v2_zSDSS_swp,zSDSS,256.7703,26.2657,0.933947027,21.0866833,20.5722618,21.6339264,22.520359,0.00911302026,5,108,107.959999,3,2036337964,2016-07-08 23:39:54 2016-07-08 23:40:57 2016-07-08 23:42:02,None,None
27072,1000001-JPLUS-00526-v2_uJAVA_swp,uJAVA,258.3111,26.2657,1.04052997,21.0748367,20.6777458,21.7394104,21.0391006,0.0311347991,5,114.900002,114.650002,3,3953582831,2016-07-09 22:04:42 2016-07-09 22:05:51 2016-07-09 22:07:01,None,None
29693,1000001-JPLUS-00526-v2_J0378_swp,J0378,258.3111,26.2657,1.11047006,20.7831287,20.4566669,21.5183334,20.378727,0.0328688994,5,158.699997,158.210007,3,2634021324,2016-07-09 22:43:10 2016-07-09 22:44:31 2016-07-09 22:45:52,None,None
31260,1000001-JPLUS-00526-v2_J0395_swp,J0395,258.3111,26.2657,1.16655004,20.7599525,20.4869823,21.5486469,20.2943382,0.0334317982,5,175.5,173.460007,3,2909859269,2016-07-09 22:54:08 2016-07-09 22:55:35 2016-07-09 23:23:39,None,None
29169,1000001-JPLUS-00526-v2_J0410_swp,J0410,258.3111,26.2657,1.03144002,21.0197086,20.6130905,21.6747551,21.2580147,0.0230858009,5,84.9000015,84.8799973,3,3670772391,2016-07-09 22:31:05 2016-07-09 22:32:00 2016-07-09 22:32:59,None,None
27595,1000001-JPLUS-00526-v2_J0430_swp,J0430,258.3111,26.2657,1.01501,21.0805759,20.6565247,21.7181892,21.3546257,0.0215553008,5,86.6999969,86.4700012,3,82432494,2016-07-09 22:08:12 2016-07-09 22:09:09 2016-07-09 22:10:05,None,None
