,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS!2,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
8344,220.367503,40.295128,220.36750299999997,40.295128000000005,1,,6,J144128.20+401742.4,,2003.2317,3,22.995,0.369,25.307,0.46299999999999997,24.546999999999997,0.515,23.908,0.546,21.425,0.27,,,,
8345,220.317644,40.257334,220.317644,40.257334,1,+,6,J144116.23+401526.4,*,2003.2317,3,20.955,0.07400000000000001,20.088,0.016,19.817999999999998,0.017,19.743,0.022000000000000002,19.782,0.069,,,,
8348,220.321996,40.276771,220.32199599999998,40.276771000000004,1,+,6,J144117.27+401636.3,,2003.2317,3,21.497,0.114,20.789,0.026000000000000002,20.465,0.026000000000000002,20.317,0.034,20.299,0.10800000000000001,,,,
8352,220.313287,40.278849,220.313287,40.278849,1,+,6,J144115.18+401643.8,,2003.2317,3,24.426,0.87,21.787,0.055,20.916,0.037000000000000005,20.407,0.038,20.101,0.09300000000000001,,,,
8360,220.319915,40.262162,220.31991499999998,40.262162,1,+,6,J144116.77+401543.7,,2003.2317,3,23.989,0.742,23.765,0.271,22.427,0.128,21.909000000000002,0.132,21.851,0.375,,,,
8367,220.351736,40.294824,220.351736,40.294824,2,,6,J144124.41+401741.3,*,2003.1773,3,21.272,0.087,19.714000000000002,0.013000000000000001,19.098,0.011000000000000001,18.812,0.013000000000000001,18.705,0.035,,,,
8368,220.35461,40.294231,220.35461,40.294230999999996,2,,6,J144125.10+401739.2,,2003.1773,3,23.763,0.634,23.723000000000003,0.29100000000000004,22.473000000000003,0.166,20.816,0.063,20.006,0.111,,,,
8369,220.353153,40.295495,220.353153,40.295495,2,,6,J144124.75+401743.7,*,2003.1773,3,23.648000000000003,0.5589999999999999,23.232,0.183,22.156999999999996,0.11699999999999999,21.195,0.081,20.437,0.14800000000000002,,,,
8372,220.327731,40.300318,220.327731,40.300318,2,,6,J144118.65+401801.1,,2003.1773,3,23.01,0.35100000000000003,21.563000000000002,0.048,20.719,0.036000000000000004,20.424,0.043,20.33,0.14,,,,
8376,220.348043,40.312165,220.34804300000002,40.312165,2,,6,J144123.53+401843.7,,2003.1773,3,24.901999999999997,0.941,23.58,0.31,22.46,0.195,21.309,0.114,20.565,0.21600000000000003,,,,
8379,220.337145,40.308355,220.33714500000002,40.308355,1,+,6,J144120.91+401830.0,,2003.2317,3,24.709,0.899,25.37,0.486,23.059,0.225,24.081999999999997,0.606,23.185,0.506,,,,
8380,220.335372,40.308538,220.335372,40.308538,1,+,6,J144120.48+401830.7,,2003.2317,3,24.679000000000002,0.9059999999999999,24.736,0.486,23.281,0.272,23.969,0.6,22.663,0.5429999999999999,,,,
8382,220.324644,40.30415,220.324644,40.30415,1,+,6,J144117.91+401814.9,,2003.2317,3,24.436999999999998,0.88,25.726999999999997,0.415,23.368000000000002,0.28300000000000003,24.026,0.584,22.656999999999996,0.524,,,,
8383,220.351722,40.294832,220.35172200000002,40.294832,1,+,6,J144124.41+401741.3,*,2003.2317,3,21.070999999999998,0.08199999999999999,19.737000000000002,0.013000000000000001,19.127,0.011000000000000001,18.887999999999998,0.013000000000000001,18.676,0.03,,,,
8384,220.35467,40.294259,220.35467000000003,40.294259000000004,1,+,6,J144125.12+401739.3,,2003.2317,3,23.86,0.7070000000000001,24.308000000000003,0.389,22.406999999999996,0.126,20.875,0.055,19.892,0.079,,,,
8385,220.353132,40.295494,220.353132,40.295494,1,+,6,J144124.75+401743.7,*,2003.2317,3,24.468000000000004,0.868,23.426,0.21100000000000002,22.441999999999997,0.131,21.123,0.068,20.76,0.16399999999999998,,,,
8387,220.327723,40.300337,220.327723,40.300337,1,+,6,J144118.65+401801.2,,2003.2317,3,24.265,0.8059999999999999,21.541999999999998,0.044000000000000004,20.748,0.032,20.424,0.037000000000000005,20.204,0.098,,,,
8392,220.347979,40.312199,220.347979,40.312199,1,+,6,J144123.51+401843.9,,2003.2317,3,25.436,0.742,23.843000000000004,0.316,22.471999999999998,0.15,21.249000000000002,0.08199999999999999,20.983,0.217,,,,
8394,220.334404,40.313434,220.334404,40.313434,1,,6,J144120.25+401848.3,,2003.2317,3,25.529,0.6940000000000001,23.974,0.33799999999999997,23.426,0.315,22.275,0.196,21.633000000000003,0.349,,,,
8395,220.340492,40.303804,220.34049199999998,40.303804,1,,6,J144121.71+401813.6,,2003.2317,3,24.725,0.9990000000000001,23.819000000000003,0.318,23.524,0.364,22.214000000000002,0.19699999999999998,21.334,0.301,,,,
8396,220.34552,40.305542,220.34552000000002,40.305541999999996,1,,6,J144122.92+401819.9,,2003.2317,3,25.468000000000004,0.633,25.1,0.473,25.326999999999998,0.467,22.101,0.152,23.182,0.47700000000000004,,,,
8397,220.340958,40.290173,220.340958,40.290172999999996,1,,6,J144121.82+401724.6,,2003.2317,3,23.455,0.532,25.822,0.381,24.8,0.522,23.956,0.5529999999999999,21.176,0.221,,,,
8399,220.156964,40.158506,220.15696400000002,40.158506,1,+,6,J144037.67+400930.6,,2003.226,3,24.834,0.955,22.281999999999996,0.106,20.631999999999998,0.037000000000000005,20.145,0.039,19.785999999999998,0.086,,,,
8400,220.179767,40.152426,220.179767,40.152426,1,,6,J144043.14+400908.7,*,2003.226,3,16.276,0.006,15.183,0.003,15.214,0.011000000000000001,14.633,0.003,14.561,0.005,,,,
8405,220.16762,40.161627,220.16762000000003,40.161627,1,,6,J144040.22+400941.8,,2003.226,3,23.967,0.836,24.761,0.61,23.89,0.514,22.219,0.223,22.276999999999997,0.556,,,,
8416,220.179948,40.179598,220.179948,40.179598,1,+,6,J144043.18+401046.5,*,2003.226,3,24.441,0.9159999999999999,21.747,0.062,20.261,0.026000000000000002,19.146,0.017,18.442,0.027000000000000003,,,,
8418,220.198369,40.171189,220.19836899999999,40.171189,1,+,6,J144047.60+401016.2,,2003.226,3,23.066,0.451,22.01,0.08,20.768,0.039,20.324,0.042,20.0,0.096,,,,
8421,220.183471,40.19078,220.183471,40.19078,1,+,6,J144044.03+401126.8,*,2003.2317,3,20.333,0.048,18.855999999999998,0.008,18.223,0.006999999999999999,17.954,0.008,17.836,0.017,,,,
8423,220.180293,40.186721,220.180293,40.186721,1,+,6,J144043.27+401112.1,,2003.2317,3,23.303,0.483,22.631,0.10800000000000001,21.171999999999997,0.045,20.361,0.035,19.889,0.076,,,,
8424,220.178813,40.181958,220.178813,40.181958,1,,6,J144042.91+401055.0,,2003.2317,3,25.941999999999997,0.446,25.45,0.45799999999999996,22.896,0.185,24.346999999999998,0.5770000000000001,23.398000000000003,0.431,,,,
8426,220.187873,40.177705,220.187873,40.177704999999996,1,+,6,J144045.08+401039.7,,2003.2317,3,24.506999999999998,0.8390000000000001,24.647,0.445,23.095,0.21899999999999997,22.885,0.28600000000000003,22.413,0.47,,,,
8431,220.132059,40.176098,220.132059,40.176097999999996,1,,6,J144031.69+401033.9,,2003.226,3,24.732,0.879,26.16,0.4,25.404,0.584,24.575,0.742,20.995,0.218,,,,
